ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,Fleet,Vehicle,Fuel,Dist.Run,MPG,Type
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,HG12KJX  ,MED TIPPER,2839.7,14450M,23.13,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,HG12KJY  ,MED TIPPER,2276.17,13634M,27.23,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,HG12KKE  ,MED TIPPER,2013.08,12634M,28.53,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,LIBMAST  ,MASTER    ,1682.26,KEY,,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,HWSMAST1 ,MASTER    ,144.99,KEY,,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,HX09JDK  ,HOIST     ,437.03,2544K*,19.01,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,3305,LIBRARY BU,701.7,2238K,9.01,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,KM13WUA  ,LUTON     ,2954.75,13835M,21.28,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,KM13WUE  ,LUTON     ,2947.89,14061M,21.68,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,KM59YVT  ,LARGE VAN ,1928.97,9001M,21.21,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,KM59ZBL  ,MED VAN   ,2095.92,10647M,23.09,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,KR12LHT  ,MED TIPPER,2207.64,10345M,21.3,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,KR12LLT  ,MED TIPPER,3761.77,15268M,18.45,D
11/03/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,KR12LOD  ,MED TIPPER,3081.74,15890M,23.44,D
